breath,clock,start_s,peak_s,end_s,inhale_dur_s,exhale_dur_s,cycle_dur_s,rate_bpm,ie_ratio,duty_cycle,inhale_amp_norm,exhale_amp_norm,inhale_amp_raw,inhale_slope_norm,exhale_slope_norm,onset_level,peak_level,offset_level,n_holds,hold_dur_s,event_marker,phase,condition
265,2025-08-08 16:07:34.838000,849.55,849.9,851.35,0.35,1.45,1.8,33.333,0.2414,0.1944,0.1411,-0.2275,1.7676,0.4031,-0.1569,0.115,0.256,0.0285,0,0.0,stressor_test_1,stressor_test_1,unmarked
266,2025-08-08 16:07:36.636000,851.35,852.45,853.35,1.1,0.9,2.0,30.0,1.2222,0.55,0.1974,-0.2174,2.4734,0.1795,-0.2416,0.0285,0.2259,0.0085,0,0.0,stressor_test_1,stressor_test_1,unmarked
267,2025-08-08 16:07:38.649000,853.35,854.05,855.5,0.7,1.45,2.15,27.907,0.4828,0.3256,0.1926,-0.2589,2.4126,0.2751,-0.1786,0.0085,0.2011,-0.0579,1,0.4,stressor_test_1,stressor_test_1,unmarked
268,2025-08-08 16:07:40.833000,855.5,856.3,856.85,0.8,0.55,1.35,44.444,1.4545,0.5926,0.3,-0.2033,3.7588,0.375,-0.3696,-0.0579,0.2422,0.0389,0,0.0,stressor_test_1,stressor_test_1,unmarked
269,2025-08-08 16:07:42.125000,856.85,857.65,858.15,0.8,0.5,1.3,46.154,1.6,0.6154,0.2537,-0.1937,3.1784,0.3171,-0.3873,0.0389,0.2925,0.0989,0,0.0,stressor_test_1,stressor_test_1,unmarked
270,2025-08-08 16:07:43.449000,858.15,858.5,860.45,0.35,1.95,2.3,26.087,0.1795,0.1522,0.2168,-0.1985,2.7165,0.6195,-0.1018,0.0989,0.3157,0.1172,1,0.4,stressor_test_1,stressor_test_1,unmarked
271,2025-08-08 16:07:45.725000,860.45,860.9,862.1,0.45,1.2,1.65,36.364,0.375,0.2727,0.1083,-0.2324,1.3573,0.2408,-0.1936,0.1172,0.2256,-0.0068,0,0.0,stressor_test_1,stressor_test_1,unmarked
272,2025-08-08 16:07:47.441000,862.1,863.2,864.75,1.1,1.55,2.65,22.642,0.7097,0.4151,0.3343,-0.3273,4.1887,0.3039,-0.2112,-0.0068,0.3276,0.0002,0,0.0,stressor_test_1,stressor_test_1,unmarked
273,2025-08-08 16:07:50.049000,864.75,865.9,867.35,1.15,1.45,2.6,23.077,0.7931,0.4423,0.2134,-0.242,2.6738,0.1856,-0.1669,0.0002,0.2136,-0.0284,0,0.0,stressor_test_1,stressor_test_1,unmarked
274,2025-08-08 16:07:52.632000,867.35,868.4,869.95,1.05,1.55,2.6,23.077,0.6774,0.4038,0.3122,-0.3081,3.9107,0.2973,-0.1988,-0.0284,0.2838,-0.0243,0,0.0,stressor_test_1,stressor_test_1,unmarked
275,2025-08-08 16:07:55.233000,869.95,870.8,871.7,0.85,0.9,1.75,34.286,0.9444,0.4857,0.2903,-0.2695,3.6367,0.3415,-0.2994,-0.0243,0.2659,-0.0036,0,0.0,stressor_test_1,stressor_test_1,unmarked
276,2025-08-08 16:07:57.043000,871.7,872.45,873.35,0.75,0.9,1.65,36.364,0.8333,0.4545,0.2726,-0.2344,3.4155,0.3635,-0.2604,-0.0036,0.2691,0.0347,0,0.0,stressor_test_1,stressor_test_1,unmarked
277,2025-08-08 16:07:58.629000,873.35,874.3,875.85,0.95,1.55,2.5,24.0,0.6129,0.38,0.3627,-0.4098,4.5446,0.3818,-0.2644,0.0347,0.3974,-0.0124,0,0.0,stressor_test_1,stressor_test_1,unmarked
278,2025-08-08 16:08:01.123000,875.85,877.1,878.05,1.25,0.95,2.2,27.273,1.3158,0.5682,0.4133,-0.3526,5.1775,0.3306,-0.3711,-0.0124,0.4009,0.0483,1,0.8,stressor_test_1,stressor_test_1,unmarked
279,2025-08-08 16:08:03.339000,878.05,879.0,880.95,0.95,1.95,2.9,20.69,0.4872,0.3276,0.3573,-0.4361,4.4762,0.3761,-0.2236,0.0483,0.4056,-0.0305,0,0.0,stressor_test_1,stressor_test_1,unmarked
280,2025-08-08 16:08:06.251000,880.95,881.85,882.35,0.9,0.5,1.4,42.857,1.8,0.6429,0.2987,-0.1835,3.7417,0.3318,-0.3671,-0.0305,0.2682,0.0846,1,0.35,stressor_test_1,stressor_test_1,unmarked
281,2025-08-08 16:08:07.629000,882.35,882.7,884.05,0.35,1.35,1.7,35.294,0.2593,0.2059,0.1372,-0.2036,1.7194,0.3921,-0.1508,0.0846,0.2219,0.0183,0,0.0,stressor_test_1,stressor_test_1,unmarked
282,2025-08-08 16:08:09.342000,884.05,884.95,886.3,0.9,1.35,2.25,26.667,0.6667,0.4,0.239,-0.298,2.9948,0.2656,-0.2208,0.0183,0.2573,-0.0407,0,0.0,stressor_test_1,stressor_test_1,unmarked
283,2025-08-08 16:08:11.614000,886.3,887.55,888.05,1.25,0.5,1.75,34.286,2.5,0.7143,0.3231,-0.1254,4.0485,0.2585,-0.2508,-0.0407,0.2825,0.1571,1,0.4,stressor_test_1,stressor_test_1,unmarked
284,2025-08-08 16:08:13.326000,888.05,888.45,891.65,0.4,3.2,3.6,16.667,0.125,0.1111,0.0759,-0.2113,0.9514,0.1898,-0.066,0.1571,0.233,0.0217,0,0.0,stressor_test_1,stressor_test_1,unmarked
285,2025-08-08 16:08:16.923000,891.65,892.5,893.5,0.85,1.0,1.85,32.432,0.85,0.4595,0.2564,-0.29,3.2122,0.3016,-0.29,0.0217,0.2781,-0.0119,0,0.0,stressor_test_1,stressor_test_1,unmarked
286,2025-08-08 16:08:18.847000,893.5,894.85,896.2,1.35,1.35,2.7,22.222,1.0,0.5,0.2635,-0.2834,3.301,0.1952,-0.2099,-0.0119,0.2516,-0.0318,0,0.0,stressor_test_1,stressor_test_1,unmarked
287,2025-08-08 16:08:21.573000,896.2,897.65,899.85,1.45,2.2,3.65,16.438,0.6591,0.3973,0.3942,-0.361,4.939,0.2719,-0.1641,-0.0318,0.3624,0.0014,1,0.75,stressor_test_1,stressor_test_1,unmarked
288,2025-08-08 16:08:25.143000,899.85,900.65,902.0,0.8,1.35,2.15,27.907,0.5926,0.3721,0.2414,-0.3047,3.0245,0.3018,-0.2257,0.0014,0.2428,-0.0619,0,0.0,stressor_test_1,stressor_test_1,unmarked
289,2025-08-08 16:08:27.340000,902.0,903.1,903.85,1.1,0.75,1.85,32.432,1.4667,0.5946,0.3143,-0.1845,3.9371,0.2857,-0.246,-0.0619,0.2524,0.0679,1,0.6,stressor_test_1,stressor_test_1,unmarked
290,2025-08-08 16:08:29.134000,903.85,904.7,906.9,0.85,2.2,3.05,19.672,0.3864,0.2787,0.3071,-0.4152,3.8471,0.3613,-0.1887,0.0679,0.375,-0.0403,1,0.65,stressor_test_1,stressor_test_1,unmarked
291,2025-08-08 16:08:32.229000,906.9,907.8,909.0,0.9,1.2,2.1,28.571,0.75,0.4286,0.3276,-0.3211,4.1038,0.364,-0.2676,-0.0403,0.2873,-0.0338,0,0.0,stressor_test_1,stressor_test_1,unmarked
292,2025-08-08 16:08:34.272000,909.0,909.6,911.9,0.6,2.3,2.9,20.69,0.2609,0.2069,0.3409,-0.139,4.2707,0.5681,-0.0605,-0.0338,0.3071,0.168,1,0.5,stressor_test_1,stressor_test_1,unmarked
293,2025-08-08 16:08:37.302000,911.9,912.75,915.45,0.85,2.7,3.55,16.901,0.3148,0.2394,0.1276,-0.218,1.5984,0.1501,-0.0808,0.168,0.2956,0.0776,1,0.4,stressor_test_1,stressor_test_1,unmarked
294,2025-08-08 16:08:40.839000,915.45,916.3,917.7,0.85,1.4,2.25,26.667,0.6071,0.3778,0.2358,-0.3133,2.9538,0.2774,-0.2238,0.0776,0.3133,0.0,1,0.45,stressor_test_1,stressor_test_1,unmarked
295,2025-08-08 16:08:43.034000,917.7,919.2,922.45,1.5,3.25,4.75,12.632,0.4615,0.3158,0.8078,-0.745,10.1207,0.5385,-0.2292,0.0,0.8078,0.0628,1,0.25,stressor_test_1,stressor_test_1,unmarked
296,2025-08-08 16:08:47.736000,922.45,924.65,927.75,2.2,3.1,5.3,11.321,0.7097,0.4151,0.621,-0.6089,7.7799,0.2823,-0.1964,0.0628,0.6838,0.0749,1,0.45,stressor_test_1,stressor_test_1,unmarked
297,2025-08-08 16:08:53.017000,927.75,929.9,934.0,2.15,4.1,6.25,9.6,0.5244,0.344,0.4278,-0.5137,5.3595,0.199,-0.1253,0.0749,0.5027,-0.0111,0,0.0,stressor_test_1,stressor_test_1,unmarked
298,2025-08-08 16:08:59.349000,934.0,935.0,936.95,1.0,1.95,2.95,20.339,0.5128,0.339,0.1942,-0.2079,2.433,0.1942,-0.1066,-0.0111,0.1831,-0.0248,1,0.75,stressor_test_1,stressor_test_1,unmarked
299,2025-08-08 16:09:02.225000,936.95,939.1,941.2,2.15,2.1,4.25,14.118,1.0238,0.5059,0.3916,-0.3726,4.9062,0.1821,-0.1774,-0.0248,0.3668,-0.0057,0,0.0,stressor_test_1,stressor_test_1,unmarked
300,2025-08-08 16:09:06.548000,941.2,942.3,944.75,1.1,2.45,3.55,16.901,0.449,0.3099,0.37,-0.363,4.6358,0.3364,-0.1482,-0.0057,0.3643,0.0012,1,0.6,stressor_test_1,stressor_test_1,unmarked
301,2025-08-08 16:09:10.034000,944.75,945.9,947.35,1.15,1.45,2.6,23.077,0.7931,0.4423,0.3138,-0.3374,3.9318,0.2729,-0.2327,0.0012,0.3151,-0.0223,0,0.0,stressor_test_1,stressor_test_1,unmarked
302,2025-08-08 16:09:12.635000,947.35,948.45,950.65,1.1,2.2,3.3,18.182,0.5,0.3333,0.425,-0.4013,5.324,0.3863,-0.1824,-0.0223,0.4027,0.0014,0,0.0,stressor_test_1,stressor_test_1,unmarked
303,2025-08-08 16:09:15.934000,950.65,951.65,953.25,1.0,1.6,2.6,23.077,0.625,0.3846,0.2807,-0.3036,3.5173,0.2807,-0.1897,0.0014,0.2821,-0.0214,1,0.3,stressor_test_1,stressor_test_1,unmarked
304,2025-08-08 16:09:18.520000,953.25,954.3,955.45,1.05,1.15,2.2,27.273,0.913,0.4773,0.3464,-0.3137,4.3397,0.3299,-0.2728,-0.0214,0.325,0.0113,0,0.0,stressor_test_1,stressor_test_1,unmarked
305,2025-08-08 16:09:20.734000,955.45,956.05,958.3,0.6,2.25,2.85,21.053,0.2667,0.2105,0.4014,-0.4391,5.0294,0.6691,-0.1952,0.0113,0.4127,-0.0264,1,0.25,stressor_test_1,stressor_test_1,unmarked
306,2025-08-08 16:09:23.620000,958.3,959.25,960.7,0.95,1.45,2.4,25.0,0.6552,0.3958,0.4015,-0.3935,5.0297,0.4226,-0.2714,-0.0264,0.3751,-0.0184,0,0.0,stressor_test_1,stressor_test_1,unmarked
307,2025-08-08 16:09:26.019000,960.7,962.05,966.05,1.35,4.0,5.35,11.215,0.3375,0.2523,0.4382,-0.4214,5.4904,0.3246,-0.1053,-0.0184,0.4198,-0.0016,0,0.0,stressor_test_1,stressor_test_1,unmarked
308,2025-08-08 16:09:31.328000,966.05,966.95,968.45,0.9,1.5,2.4,25.0,0.6,0.375,0.3207,-0.3425,4.0184,0.3564,-0.2284,-0.0016,0.3192,-0.0234,0,0.0,stressor_test_1,stressor_test_1,unmarked
309,2025-08-08 16:09:33.723000,968.45,969.6,972.3,1.15,2.7,3.85,15.584,0.4259,0.2987,0.38,-0.181,4.7605,0.3304,-0.067,-0.0234,0.3566,0.1756,0,0.0,stressor_test_1,stressor_test_1,unmarked
310,2025-08-08 16:09:37.627000,972.3,973.1,974.35,0.8,1.25,2.05,29.268,0.64,0.3902,0.2938,-0.3781,3.6807,0.3672,-0.3025,0.1756,0.4694,0.0913,0,0.0,stressor_test_1,stressor_test_1,unmarked
311,2025-08-08 16:09:39.642000,974.35,976.25,979.05,1.9,2.8,4.7,12.766,0.6786,0.4043,0.4354,-0.5038,5.4543,0.2291,-0.1799,0.0913,0.5266,0.0228,0,0.0,stressor_test_1,stressor_test_1,unmarked
312,2025-08-08 16:09:44.320000,979.05,979.95,981.55,0.9,1.6,2.5,24.0,0.5625,0.36,0.2847,-0.3073,3.5666,0.3163,-0.1921,0.0228,0.3075,0.0001,1,0.45,stressor_test_1,stressor_test_1,unmarked
313,2025-08-08 16:09:46.841000,981.55,982.45,983.25,0.9,0.8,1.7,35.294,1.125,0.5294,0.3274,-0.2186,4.1014,0.3637,-0.2733,0.0001,0.3275,0.1089,0,0.0,stressor_test_1,stressor_test_1,unmarked
314,2025-08-08 16:09:48.525000,983.25,984.05,985.75,0.8,1.7,2.5,24.0,0.4706,0.32,0.3898,-0.3773,4.8834,0.4872,-0.2219,0.1089,0.4986,0.1214,0,0.0,stressor_test_1,stressor_test_1,unmarked
315,2025-08-08 16:09:51.036000,985.75,987.85,990.75,2.1,2.9,5.0,12.0,0.7241,0.42,0.3223,-0.4207,4.0378,0.1535,-0.1451,0.1214,0.4437,0.023,0,0.0,stressor_test_1,stressor_test_1,unmarked
316,2025-08-08 16:09:56.023000,990.75,991.55,992.95,0.8,1.4,2.2,27.273,0.5714,0.3636,0.252,-0.3305,3.1574,0.315,-0.236,0.023,0.275,-0.0555,0,0.0,stressor_test_1,stressor_test_1,unmarked
317,2025-08-08 16:09:58.239000,992.95,994.55,997.15,1.6,2.6,4.2,14.286,0.6154,0.381,0.4297,-0.4248,5.3833,0.2686,-0.1634,-0.0555,0.3742,-0.0506,0,0.0,stressor_test_1,stressor_test_1,unmarked
318,2025-08-08 16:10:02.440000,997.15,998.05,999.65,0.9,1.6,2.5,24.0,0.5625,0.36,0.3153,-0.3469,3.9501,0.3503,-0.2168,-0.0506,0.2647,-0.0822,0,0.0,stressor_test_1,stressor_test_1,unmarked
319,2025-08-08 16:10:04.927000,999.65,1000.85,1001.85,1.2,1.0,2.2,27.273,1.2,0.5455,0.3097,-0.2895,3.8805,0.2581,-0.2895,-0.0822,0.2276,-0.062,0,0.0,stressor_test_1,stressor_test_1,unmarked
320,2025-08-08 16:10:07.122000,1001.85,1002.55,1004.65,0.7,2.1,2.8,21.429,0.3333,0.25,0.4006,-0.3937,5.0191,0.5723,-0.1875,-0.062,0.3387,-0.0551,1,0.45,stressor_test_1,stressor_test_1,unmarked
321,2025-08-08 16:10:09.934000,1004.65,1005.55,1007.0,0.9,1.45,2.35,25.532,0.6207,0.383,0.2795,-0.3256,3.5019,0.3106,-0.2246,-0.0551,0.2244,-0.1012,0,0.0,stressor_test_1,stressor_test_1,unmarked
322,2025-08-08 16:10:12.335000,1007.0,1007.95,1009.25,0.95,1.3,2.25,26.667,0.7308,0.4222,0.3534,-0.3229,4.4281,0.372,-0.2484,-0.1012,0.2523,-0.0706,0,0.0,stressor_test_1,stressor_test_1,unmarked
323,2025-08-08 16:10:14.529000,1009.25,1010.65,1011.2,1.4,0.55,1.95,30.769,2.5455,0.7179,0.3965,-0.1768,4.9674,0.2832,-0.3214,-0.0706,0.3259,0.1491,1,0.4,stressor_test_1,stressor_test_1,unmarked
324,2025-08-08 16:10:16.480000,1011.2,1012.15,1014.4,0.95,2.25,3.2,18.75,0.4222,0.2969,0.3233,-0.4774,4.0502,0.3403,-0.2122,0.1491,0.4724,-0.005,0,0.0,stressor_test_1,stressor_test_1,unmarked
325,2025-08-08 16:10:19.752000,1014.4,1015.15,1017.65,0.75,2.5,3.25,18.462,0.3,0.2308,0.4107,-0.1999,5.1452,0.5476,-0.08,-0.005,0.4057,0.2058,1,0.35,stressor_test_1,stressor_test_1,unmarked
326,2025-08-08 16:10:22.928000,1017.65,1018.2,1018.95,0.55,0.75,1.3,46.154,0.7333,0.4231,0.127,-0.2785,1.5909,0.2309,-0.3713,0.2058,0.3328,0.0543,1,0.6,stressor_test_1,stressor_test_1,unmarked
327,2025-08-08 16:10:24.340000,1018.95,1019.85,1021.25,0.9,1.4,2.3,26.087,0.6429,0.3913,0.2949,-0.3056,3.6952,0.3277,-0.2183,0.0543,0.3492,0.0437,0,0.0,stressor_test_1,stressor_test_1,unmarked
328,2025-08-08 16:10:26.525000,1021.25,1022.1,1022.85,0.85,0.75,1.6,37.5,1.1333,0.5313,0.2479,-0.2091,3.1054,0.2916,-0.2788,0.0437,0.2915,0.0824,0,0.0,stressor_test_1,stressor_test_1,unmarked
329,2025-08-08 16:10:28.238000,1022.85,1023.85,1028.05,1.0,4.2,5.2,11.538,0.2381,0.1923,0.5772,-0.5403,7.2308,0.5772,-0.1287,0.0824,0.6596,0.1193,0,0.0,stressor_test_1,stressor_test_1,unmarked
330,2025-08-08 16:10:33.335000,1028.05,1029.0,1030.55,0.95,1.55,2.5,24.0,0.6129,0.38,0.3035,-0.392,3.8026,0.3195,-0.2529,0.1193,0.4228,0.0308,0,0.0,stressor_test_1,stressor_test_1,unmarked
331,2025-08-08 16:10:35.828000,1030.55,1031.6,1032.75,1.05,1.15,2.2,27.273,0.913,0.4773,0.3196,-0.2485,4.0043,0.3044,-0.2161,0.0308,0.3504,0.1019,0,0.0,stressor_test_1,stressor_test_1,unmarked
332,2025-08-08 16:10:38.023000,1032.75,1033.5,1034.85,0.75,1.35,2.1,28.571,0.5556,0.3571,0.328,-0.4225,4.1097,0.4374,-0.3129,0.1019,0.4299,0.0074,0,0.0,stressor_test_1,stressor_test_1,unmarked
333,2025-08-08 16:10:40.148000,1034.85,1035.6,1037.45,0.75,1.85,2.6,23.077,0.4054,0.2885,0.4192,-0.4275,5.2519,0.5589,-0.2311,0.0074,0.4266,-0.0008,0,0.0,stressor_test_1,stressor_test_1,unmarked
334,2025-08-08 16:10:42.729000,1037.45,1037.95,1039.6,0.5,1.65,2.15,27.907,0.303,0.2326,0.2365,-0.2547,2.9636,0.4731,-0.1544,-0.0008,0.2357,-0.019,1,0.55,stressor_test_1,stressor_test_1,unmarked
335,2025-08-08 16:10:44.952000,1039.6,1040.4,1041.65,0.8,1.25,2.05,29.268,0.64,0.3902,0.2703,-0.2959,3.3867,0.3379,-0.2367,-0.019,0.2514,-0.0445,0,0.0,stressor_test_1,stressor_test_1,unmarked
336,2025-08-08 16:10:46.932000,1041.65,1043.35,1044.6,1.7,1.25,2.95,20.339,1.36,0.5763,0.3524,-0.3082,4.4144,0.2073,-0.2465,-0.0445,0.3079,-0.0003,0,0.0,stressor_test_1,stressor_test_1,unmarked
337,2025-08-08 16:10:49.927000,1044.6,1045.45,1047.95,0.85,2.5,3.35,17.91,0.34,0.2537,0.3411,-0.3837,4.2739,0.4013,-0.1535,-0.0003,0.3408,-0.0429,0,0.0,stressor_test_1,stressor_test_1,unmarked
338,2025-08-08 16:10:53.224000,1047.95,1051.05,1057.45,3.1,6.4,9.5,6.316,0.4844,0.3263,1.7138,-1.7132,21.4713,0.5528,-0.2677,-0.0429,1.6709,-0.0423,0,0.0,stressor_test_1,stressor_test_1,unmarked
339,2025-08-08 16:11:02.736000,1057.45,1058.8,1062.4,1.35,3.6,4.95,12.121,0.375,0.2727,0.4563,-0.4642,5.7166,0.338,-0.1289,-0.0423,0.414,-0.0501,0,0.0,stressor_test_1,stressor_test_1,unmarked
340,2025-08-08 16:11:07.714000,1062.4,1063.25,1065.85,0.85,2.6,3.45,17.391,0.3269,0.2464,0.2341,-0.247,2.9326,0.2754,-0.095,-0.0501,0.1839,-0.063,1,1.05,stressor_test_1,stressor_test_1,unmarked
341,2025-08-08 16:11:11.228000,1065.85,1067.05,1068.75,1.2,1.7,2.9,20.69,0.7059,0.4138,0.3413,-0.323,4.2755,0.2844,-0.19,-0.063,0.2782,-0.0448,1,0.3,stressor_test_1,stressor_test_1,unmarked
342,2025-08-08 16:11:14.025000,1068.75,1069.45,1071.25,0.7,1.8,2.5,24.0,0.3889,0.28,0.1809,-0.1618,2.2659,0.2584,-0.0899,-0.0448,0.1361,-0.0258,0,0.0,stressor_test_1,stressor_test_1,unmarked
343,2025-08-08 16:11:16.534000,1071.25,1072.85,1074.35,1.6,1.5,3.1,19.355,1.0667,0.5161,0.2577,-0.2632,3.2291,0.1611,-0.1755,-0.0258,0.232,-0.0312,0,0.0,stressor_test_1,stressor_test_1,unmarked
344,2025-08-08 16:11:19.626000,1074.35,1075.85,1078.55,1.5,2.7,4.2,14.286,0.5556,0.3571,0.4548,-0.4141,5.6982,0.3032,-0.1534,-0.0312,0.4236,0.0095,0,0.0,stressor_test_1,stressor_test_1,unmarked
345,2025-08-08 16:11:23.826000,1078.55,1079.55,1081.25,1.0,1.7,2.7,22.222,0.5882,0.3704,0.2591,-0.2923,3.2458,0.2591,-0.1719,0.0095,0.2685,-0.0237,1,0.45,stressor_test_1,stressor_test_1,unmarked
346,2025-08-08 16:11:26.527000,1081.25,1082.25,1083.9,1.0,1.65,2.65,22.642,0.6061,0.3774,0.2906,-0.3007,3.6405,0.2906,-0.1823,-0.0237,0.2669,-0.0338,0,0.0,stressor_test_1,stressor_test_1,unmarked
347,2025-08-08 16:11:29.227000,1083.9,1085.3,1087.7,1.4,2.4,3.8,15.789,0.5833,0.3684,0.4373,-0.3242,5.4781,0.3123,-0.1351,-0.0338,0.4034,0.0792,1,0.95,stressor_test_1,stressor_test_1,unmarked
348,2025-08-08 16:11:33.036000,1087.7,1088.55,1090.5,0.85,1.95,2.8,21.429,0.4359,0.3036,0.2545,-0.2185,3.1882,0.2994,-0.112,0.0792,0.3337,0.1153,0,0.0,stressor_test_1,stressor_test_1,unmarked
349,2025-08-08 16:11:35.825000,1090.5,1091.2,1093.05,0.7,1.85,2.55,23.529,0.3784,0.2745,0.2519,-0.3619,3.1564,0.3599,-0.1956,0.1153,0.3672,0.0053,0,0.0,stressor_test_1,stressor_test_1,unmarked
350,2025-08-08 16:11:38.322000,1093.05,1093.8,1094.7,0.75,0.9,1.65,36.364,0.8333,0.4545,0.2438,-0.225,3.0546,0.3251,-0.25,0.0053,0.2491,0.024,0,0.0,stressor_test_1,stressor_test_1,unmarked
351,2025-08-08 16:11:40.027000,1094.7,1096.05,1097.95,1.35,1.9,3.25,18.462,0.7105,0.4154,0.4486,-0.5217,5.6197,0.3323,-0.2746,0.024,0.4726,-0.0491,1,0.7,stressor_test_1,stressor_test_1,unmarked
352,2025-08-08 16:11:43.238000,1097.95,1098.55,1099.75,0.6,1.2,1.8,33.333,0.5,0.3333,0.3882,-0.3364,4.8638,0.647,-0.2803,-0.0491,0.3391,0.0027,0,0.0,stressor_test_1,stressor_test_1,unmarked
353,2025-08-08 16:11:45.134000,1099.75,1100.75,1101.85,1.0,1.1,2.1,28.571,0.9091,0.4762,0.3189,-0.3172,3.9949,0.3189,-0.2884,0.0027,0.3216,0.0044,0,0.0,stressor_test_1,stressor_test_1,unmarked
354,2025-08-08 16:11:47.235000,1101.85,1103.35,1105.75,1.5,2.4,3.9,15.385,0.625,0.3846,0.4936,-0.5156,6.1836,0.329,-0.2148,0.0044,0.4979,-0.0176,0,0.0,stressor_test_1,stressor_test_1,unmarked
355,2025-08-08 16:11:51.127000,1105.75,1108.35,1110.65,2.6,2.3,4.9,12.245,1.1304,0.5306,0.3536,-0.3689,4.4302,0.136,-0.1604,-0.0176,0.336,-0.0329,0,0.0,stressor_test_1,stressor_test_1,unmarked
356,2025-08-08 16:11:55.930000,1110.65,1111.65,1112.75,1.0,1.1,2.1,28.571,0.9091,0.4762,0.2625,-0.2153,3.2882,0.2625,-0.1957,-0.0329,0.2295,0.0142,0,0.0,stressor_test_1,stressor_test_1,unmarked
357,2025-08-08 16:11:58.032000,1112.75,1113.75,1116.35,1.0,2.6,3.6,16.667,0.3846,0.2778,0.3589,-0.3717,4.4968,0.3589,-0.143,0.0142,0.3731,0.0014,0,0.0,stressor_test_1,stressor_test_1,unmarked
358,2025-08-08 16:12:01.628000,1116.35,1117.25,1119.05,0.9,1.8,2.7,22.222,0.5,0.3333,0.2383,-0.2805,2.9857,0.2648,-0.1558,0.0014,0.2397,-0.0408,1,0.7,stressor_test_1,stressor_test_1,unmarked
359,2025-08-08 16:12:04.330000,1119.05,1120.15,1121.4,1.1,1.25,2.35,25.532,0.88,0.4681,0.386,-0.3055,4.8365,0.3509,-0.2444,-0.0408,0.3453,0.0398,0,0.0,stressor_test_1,stressor_test_1,unmarked
360,2025-08-08 16:12:06.734000,1121.4,1122.55,1124.8,1.15,2.25,3.4,17.647,0.5111,0.3382,0.4065,-0.4326,5.0924,0.3535,-0.1923,0.0398,0.4462,0.0136,0,0.0,stressor_test_1,stressor_test_1,unmarked
361,2025-08-08 16:12:10.124000,1124.8,1125.65,1126.95,0.85,1.3,2.15,27.907,0.6538,0.3953,0.2882,-0.3021,3.6109,0.3391,-0.2324,0.0136,0.3018,-0.0003,0,0.0,stressor_test_1,stressor_test_1,unmarked
362,2025-08-08 16:12:12.218000,1126.95,1129.35,1131.75,2.4,2.4,4.8,12.5,1.0,0.5,0.4033,-0.395,5.0526,0.168,-0.1646,-0.0003,0.403,0.008,0,0.0,stressor_test_1,stressor_test_1,unmarked
363,2025-08-08 16:12:17.138000,1131.75,1132.65,1134.0,0.9,1.35,2.25,26.667,0.6667,0.4,0.2872,-0.3445,3.5984,0.3191,-0.2552,0.008,0.2952,-0.0493,0,0.0,stressor_test_1,stressor_test_1,unmarked
364,2025-08-08 16:12:19.331000,1134.0,1135.55,1136.85,1.55,1.3,2.85,21.053,1.1923,0.5439,0.4226,-0.3469,5.2941,0.2726,-0.2668,-0.0493,0.3733,0.0264,0,0.0,stressor_test_1,stressor_test_1,unmarked
365,2025-08-08 16:12:22.125000,1136.85,1137.65,1140.15,0.8,2.5,3.3,18.182,0.32,0.2424,0.3524,-0.3448,4.4156,0.4406,-0.1379,0.0264,0.3788,0.034,0,0.0,subject_idle,subject_idle,unmarked
366,2025-08-08 16:12:25.505000,1140.15,1140.45,1140.95,0.3,0.5,0.8,75.0,0.6,0.375,0.1646,-0.172,2.0626,0.5488,-0.344,0.034,0.1986,0.0266,0,0.0,subject_idle,subject_idle,unmarked
367,2025-08-08 16:12:26.228000,1140.95,1142.05,1144.15,1.1,2.1,3.2,18.75,0.5238,0.3437,0.6574,-0.6198,8.2359,0.5976,-0.2951,0.0266,0.684,0.0642,0,0.0,subject_idle,subject_idle,unmarked
368,2025-08-08 16:12:29.563000,1144.15,1146.65,1148.95,2.5,2.3,4.8,12.5,1.087,0.5208,0.5042,-0.5693,6.3173,0.2017,-0.2475,0.0642,0.5685,-0.0009,1,0.45,subject_idle,subject_idle,unmarked
369,2025-08-08 16:12:34.245000,1148.95,1149.65,1152.0,0.7,2.35,3.05,19.672,0.2979,0.2295,1.4322,-1.4735,17.9425,2.0459,-0.627,-0.0009,1.4313,-0.0423,1,0.7,subject_idle,subject_idle,unmarked
370,2025-08-08 16:12:37.328000,1152.0,1155.55,1159.65,3.55,4.1,7.65,7.843,0.8659,0.4641,1.6235,-1.6461,20.3399,0.4573,-0.4015,-0.0423,1.5812,-0.0649,0,0.0,sart_2,sart_2,unmarked
371,2025-08-08 16:12:44.924000,1159.65,1161.6,1163.4,1.95,1.8,3.75,16.0,1.0833,0.52,0.3349,-0.3316,4.1963,0.1718,-0.1842,-0.0649,0.27,-0.0615,0,0.0,sart_2,sart_2,unmarked
372,2025-08-08 16:12:48.727000,1163.4,1164.55,1167.55,1.15,3.0,4.15,14.458,0.3833,0.2771,0.2406,-0.2353,3.0149,0.2093,-0.0784,-0.0615,0.1791,-0.0562,0,0.0,sart_2,sart_2,unmarked
373,2025-08-08 16:12:52.834000,1167.55,1168.55,1170.85,1.0,2.3,3.3,18.182,0.4348,0.303,0.209,-0.2069,2.6188,0.209,-0.0899,-0.0562,0.1529,-0.054,0,0.0,sart_2,sart_2,unmarked
374,2025-08-08 16:12:56.138000,1170.85,1171.95,1173.35,1.1,1.4,2.5,24.0,0.7857,0.44,0.2845,-0.2382,3.5642,0.2586,-0.1701,-0.054,0.2305,-0.0077,0,0.0,sart_2,sart_2,unmarked
