timestamp_ms,hr_bpm,rr_ms
788,76.14213197969544,788
1601,73.80073800738008,813
2364,78.63695937090432,763
3128,78.53403141361257,764
3906,77.12082262210797,778
4691,76.43312101910828,785
5459,78.125,768
6196,81.41112618724559,737
6972,77.31958762886597,776
7765,75.66204287515762,793
8578,73.80073800738008,813
9345,78.22685788787484,767
10139,75.56675062972292,794
10926,76.23888182973316,787
11737,73.98273736128236,811
12504,78.22685788787484,767
13268,78.53403141361257,764
14071,74.71980074719801,803
14902,72.20216606498195,831
15758,70.09345794392523,856
16592,71.94244604316546,834
17410,73.34963325183374,818
18236,72.63922518159806,826
19078,71.25890736342043,842
19895,73.43941248470013,817
20673,77.12082262210797,778
21464,75.85335018963337,791
22263,75.09386733416771,799
23081,73.34963325183374,818
23900,73.26007326007326,819
24744,71.09004739336493,844
25577,72.02881152460985,833
26367,75.9493670886076,790
27122,79.47019867549669,755
27889,78.22685788787484,767
28670,76.82458386683739,781
29467,75.28230865746549,797
30239,77.72020725388602,772
31059,73.17073170731707,820
31966,66.1521499448732,907
32899,64.30868167202573,933
33759,69.76744186046511,860
34657,66.815144766147,898
35553,66.96428571428571,896
36410,70.01166861143524,857
37180,77.92207792207792,770
37915,81.63265306122449,735
38669,79.57559681697613,754
39501,72.11538461538461,832
40431,64.51612903225806,930
41348,65.43075245365321,917
42284,64.1025641025641,936
43168,67.87330316742081,884
44009,71.3436385255648,841
44865,70.09345794392523,856
45711,70.92198581560284,846
46531,73.17073170731707,820
47314,76.62835249042146,783
48125,73.98273736128236,811
48953,72.46376811594203,828
49802,70.6713780918728,849
50614,73.89162561576354,812
51432,73.34963325183374,818
52261,72.37635705669481,829
53118,70.01166861143524,857
54002,67.87330316742081,884
54853,70.50528789659225,851
55712,69.84866123399301,859
56572,69.76744186046511,860
57420,70.75471698113208,848
58225,74.53416149068323,805
59062,71.68458781362007,837
59906,71.09004739336493,844
60752,70.92198581560284,846
61542,75.9493670886076,790
62350,74.25742574257426,808
63158,74.25742574257426,808
63966,74.25742574257426,808
64742,77.31958762886597,776
65475,81.85538881309687,733
66178,85.34850640113798,703
66886,84.7457627118644,708
67621,81.63265306122449,735
68409,76.14213197969544,788
69271,69.60556844547564,862
70195,64.93506493506493,924
71157,62.37006237006237,962
72096,63.89776357827476,939
73033,64.034151547492,937
73908,68.57142857142857,875
74711,74.71980074719801,803
75463,79.7872340425532,752
76193,82.1917808219178,730
76943,80.0,750
77660,83.68200836820084,717
78390,82.1917808219178,730
79156,78.3289817232376,766
79977,73.0816077953715,821
80810,72.02881152460985,833
81648,71.59904534606206,838
82473,72.72727272727273,825
