breath,start_s,mid_s,peak_s,end_s,clock,inhale_dur_s,exhale_dur_s,cycle_dur_s,rate_bpm,ie_ratio,duty_cycle,inhale_amp_norm,exhale_amp_norm,inhale_amp_raw,inhale_slope_norm,n_holds,hold_dur_s,event_marker,phase,amp_local_median,amp_ratio,is_sigh,cv_cycle_w,succ_diff_w,autocorr1_w,arousal_index_z
1,7.2,8.85,8.3,10.5,2025-08-08 15:53:32.560000,1.1,2.2,3.3,18.182,0.5,0.3333,0.2222,-0.2282,2.7835,0.202,1,0.55,biometric_baseline,biometric_baseline,4.95786,0.561,0,0.339,1.23,0.5506,-0.3019
2,10.5,12.05,11.8,13.6,2025-08-08 15:53:35.855000,1.3,1.8,3.1,19.355,0.7222,0.4194,0.3148,-0.3148,3.9442,0.2422,0,0.0,biometric_baseline,biometric_baseline,4.74736,0.831,0,0.3411,1.3318,0.4744,-0.2314
3,13.6,15.175,14.9,16.75,2025-08-08 15:53:38.951000,1.3,1.85,3.15,19.048,0.7027,0.4127,0.1264,-0.1253,1.58329,0.0972,1,0.55,biometric_baseline,biometric_baseline,4.53687,0.349,0,0.3543,1.275,0.5161,-0.2056
4,16.75,19.475,18.3,22.2,2025-08-08 15:53:42.064000,1.55,3.9,5.45,11.009,0.3974,0.2844,0.3621,-0.3077,4.53687,0.2336,0,0.0,biometric_baseline,biometric_baseline,4.48967,1.011,0,0.3449,1.2731,0.5247,-0.6724
5,22.2,25.3,24.7,28.4,2025-08-08 15:53:47.550000,2.5,3.7,6.2,9.677,0.6757,0.4032,0.5771,-0.6267,7.23054,0.2309,0,0.0,biometric_baseline,biometric_baseline,4.53687,1.594,0,0.3312,1.2714,0.512,-0.7889
6,28.4,32.2,32.7,36.0,2025-08-08 15:53:53.764000,4.3,3.3,7.6,7.895,1.303,0.5658,0.6107,-0.6057,7.65115,0.142,0,0.0,biometric_baseline,biometric_baseline,4.74736,1.612,0,0.3223,1.2433,0.5199,-0.9143
7,36.0,39.9,40.8,43.8,2025-08-08 15:54:01.354000,4.8,3.0,7.8,7.692,1.6,0.6154,0.4053,-0.4229,5.07805,0.0844,0,0.0,biometric_baseline,biometric_baseline,4.95786,1.024,0,0.3152,1.2875,0.48,-0.9482
8,43.8,47.05,46.65,50.3,2025-08-08 15:54:09.068000,2.85,3.65,6.5,9.231,0.7808,0.4385,0.4777,-0.4654,5.98518,0.1676,0,0.0,biometric_baseline,biometric_baseline,5.01796,1.193,0,0.3088,1.2147,0.4845,-0.8853
9,50.3,51.95,51.5,53.6,2025-08-08 15:54:15.632000,1.2,2.1,3.3,18.182,0.5714,0.3636,0.265,-0.265,3.31941,0.2208,0,0.0,biometric_baseline,biometric_baseline,4.95786,0.67,0,0.3242,1.2417,0.4828,-0.3496
10,53.6,56.675,56.35,59.75,2025-08-08 15:54:18.941000,2.75,3.4,6.15,9.756,0.8088,0.4472,0.4057,-0.3922,5.08259,0.1475,1,1.05,biometric_baseline,biometric_baseline,5.01796,1.013,0,0.3187,1.3737,0.3762,-0.8249
11,59.75,62.85,62.75,65.95,2025-08-08 15:54:25.056000,3.0,3.2,6.2,9.677,0.9375,0.4839,0.3957,-0.4087,4.95786,0.1319,0,0.0,biometric_baseline,biometric_baseline,5.07805,0.976,0,0.3114,1.3225,0.3973,-0.8527
12,65.95,67.875,67.4,69.8,2025-08-08 15:54:31.238000,1.45,2.4,3.85,15.584,0.6042,0.3766,0.3418,-0.3433,4.28278,0.2358,0,0.0,biometric_baseline,biometric_baseline,5.07805,0.843,0,0.2949,1.2976,0.3441,-0.5851
13,69.8,71.4,70.95,73.0,2025-08-08 15:54:35.168000,1.15,2.05,3.2,18.75,0.561,0.3594,0.2914,-0.3023,3.65019,0.2534,0,0.0,biometric_baseline,biometric_baseline,5.07805,0.719,0,0.2829,1.3571,0.2543,-0.4519
14,73.0,75.225,74.2,77.45,2025-08-08 15:54:38.348000,1.2,3.25,4.45,13.483,0.3692,0.2697,0.3546,-0.3427,4.44247,0.2955,0,0.0,biometric_baseline,biometric_baseline,5.07805,0.875,0,0.2821,1.3929,0.3255,-0.7405
15,77.45,80.3,80.4,83.15,2025-08-08 15:54:42.725000,2.95,2.75,5.7,10.526,1.0727,0.5175,0.537,-0.5394,6.72781,0.182,0,0.0,biometric_baseline,biometric_baseline,5.07805,1.325,0,0.2916,1.3167,0.3646,-0.8704
16,83.15,86.425,86.6,89.7,2025-08-08 15:54:48.458000,3.45,3.1,6.55,9.16,1.1129,0.5267,0.4873,-0.516,6.10471,0.1412,0,0.0,biometric_baseline,biometric_baseline,4.95786,1.231,0,0.316,1.3381,0.3762,-0.8659
17,89.7,92.0,91.7,94.3,2025-08-08 15:54:54.969000,2.0,2.6,4.6,13.043,0.7692,0.4348,0.5277,-0.4963,6.61102,0.2638,0,0.0,biometric_baseline,biometric_baseline,4.74073,1.395,0,0.3109,1.3119,0.2946,-0.6715
18,94.3,96.575,97.0,98.85,2025-08-08 15:54:59.646000,2.7,1.85,4.55,13.187,1.4595,0.5934,0.4193,-0.3358,5.25308,0.1553,0,0.0,biometric_baseline,biometric_baseline,4.44247,1.182,0,0.3102,1.3524,0.2318,-0.666
19,98.85,100.275,99.5,101.7,2025-08-08 15:55:04.145000,0.65,2.2,2.85,21.053,0.2955,0.2281,0.1966,-0.184,2.46354,0.3025,1,0.65,biometric_baseline,biometric_baseline,4.44247,0.555,0,0.301,1.3857,0.3002,-0.2685
20,101.7,105.0,103.35,108.3,2025-08-08 15:55:06.971000,1.65,4.95,6.6,9.091,0.3333,0.25,0.4494,-0.4938,5.63065,0.2724,0,0.0,biometric_baseline,biometric_baseline,4.74073,1.188,0,0.2905,1.2571,0.3766,-0.9519
21,108.3,111.425,111.1,114.55,2025-08-08 15:55:13.656000,2.8,3.45,6.25,9.6,0.8116,0.448,1.9547,-2.0022,24.48967,0.6981,0,0.0,biometric_baseline,biometric_baseline,4.44247,5.513,1,0.2972,1.2143,0.2854,-0.9026
22,114.55,117.275,117.7,120.0,2025-08-08 15:55:19.837000,3.15,2.3,5.45,11.009,1.3696,0.578,0.2298,-0.2733,2.87876,0.0729,1,0.65,biometric_baseline,biometric_baseline,4.28278,0.672,0,0.3025,1.2214,0.3696,-0.809
23,120.0,122.0,121.3,124.0,2025-08-08 15:55:25.356000,1.3,2.7,4.0,15.0,0.4815,0.325,0.2758,-0.2802,3.45471,0.2121,1,0.65,biometric_baseline,biometric_baseline,4.26382,0.81,0,0.3156,1.1143,0.4038,-0.5501
24,124.0,125.6,125.15,127.2,2025-08-08 15:55:29.288000,1.15,2.05,3.2,18.75,0.561,0.3594,0.2835,-0.2868,3.55144,0.2465,0,0.0,biometric_baseline,biometric_baseline,4.26382,0.833,0,0.3132,1.1143,0.4364,-0.3542
25,127.2,129.15,128.8,131.1,2025-08-08 15:55:32.560000,1.6,2.3,3.9,15.385,0.6957,0.4103,0.3018,-0.3125,3.78145,0.1886,1,0.7,subject_idle,subject_idle,4.26382,0.887,0,0.3218,1.0643,0.4549,-0.5092
26,131.1,132.45,132.4,133.8,2025-08-08 15:55:36.461000,1.3,1.4,2.7,22.222,0.9286,0.4815,0.2947,-0.2485,3.69164,0.2267,0,0.0,subject_idle,subject_idle,4.05396,0.911,0,0.329,1.0262,0.4118,-0.1148
27,133.8,135.575,135.7,137.35,2025-08-08 15:55:39.132000,1.9,1.65,3.55,16.901,1.1515,0.5352,0.3784,-0.3327,4.74073,0.1992,0,0.0,subject_idle,subject_idle,4.05396,1.169,0,0.3043,1.0524,0.3717,-0.4833
28,137.35,138.6,138.35,139.85,2025-08-08 15:55:42.635000,1.0,1.5,2.5,24.0,0.6667,0.4,0.3175,-0.3464,3.97812,0.3175,0,0.0,subject_idle,subject_idle,3.98037,0.999,0,0.309,1.0048,0.3501,-0.0827
29,139.85,142.1,142.15,144.35,2025-08-08 15:55:45.133000,2.3,2.2,4.5,13.333,1.0455,0.5111,0.5204,-0.5233,6.51955,0.2263,0,0.0,subject_idle,subject_idle,3.97812,1.639,0,0.3121,1.0071,0.3924,-0.6519
30,144.35,146.85,147.0,149.35,2025-08-08 15:55:49.632000,2.65,2.35,5.0,12.0,1.1277,0.53,0.4826,-0.5015,6.0467,0.1821,0,0.0,subject_idle,subject_idle,3.97812,1.52,0,0.3187,0.9667,0.6056,-0.703
31,149.35,150.875,150.95,152.4,2025-08-08 15:55:54.642000,1.6,1.45,3.05,19.672,1.1034,0.5246,0.3403,-0.2984,4.26382,0.2127,1,0.3,subject_idle,subject_idle,3.97812,1.072,0,0.2815,0.8167,0.4217,-0.4063
32,152.4,153.825,153.4,155.25,2025-08-08 15:55:57.737000,1.0,1.85,2.85,21.053,0.5405,0.3509,0.2572,-0.2838,3.22267,0.2572,1,0.3,subject_idle,subject_idle,3.97812,0.81,0,0.3102,0.9905,-0.0167,-0.2388
33,155.25,156.625,156.35,158.0,2025-08-08 15:56:00.546000,1.1,1.65,2.75,21.818,0.6667,0.4,0.279,-0.282,3.49563,0.2537,0,0.0,subject_idle,subject_idle,3.98037,0.878,0,0.3194,1.0071,0.2968,-0.1676
34,158.0,159.7,159.9,161.4,2025-08-08 15:56:03.370000,1.9,1.5,3.4,17.647,1.2667,0.5588,0.3177,-0.3133,3.98037,0.1672,0,0.0,subject_idle,subject_idle,4.05396,0.982,0,0.323,1.0667,0.2366,-0.3825
35,161.4,163.0,163.05,164.6,2025-08-08 15:56:06.699000,1.65,1.55,3.2,18.75,1.0645,0.5156,0.3826,-0.39,4.79313,0.2319,0,0.0,subject_idle,subject_idle,4.05396,1.182,0,0.3388,1.0786,0.255,-0.2717
36,164.6,165.975,165.85,167.35,2025-08-08 15:56:09.947000,1.25,1.5,2.75,21.818,0.8333,0.4545,0.3236,-0.3061,4.05396,0.2589,0,0.0,subject_idle,subject_idle,4.05396,1.0,0,0.3738,1.0786,0.3367,0.0077
37,167.35,169.425,168.65,171.5,2025-08-08 15:56:12.637000,1.3,2.85,4.15,14.458,0.4561,0.3133,0.3697,-0.4054,4.63114,0.2843,1,0.35,subject_idle,subject_idle,4.19806,1.103,0,0.3666,1.1619,0.2584,-0.4152
38,171.5,173.1,172.5,174.7,2025-08-08 15:56:16.870000,1.0,2.2,3.2,18.75,0.4545,0.3125,0.2776,-0.2785,3.47727,0.2776,1,0.8,subject_idle,subject_idle,4.05396,0.858,0,0.3661,1.1262,0.2796,-0.1837
39,174.7,176.35,176.0,178.0,2025-08-08 15:56:20.056000,1.3,2.0,3.3,18.182,0.65,0.3939,0.2862,-0.2562,3.58523,0.2201,1,0.3,subject_idle,subject_idle,4.05396,0.884,0,0.3766,1.1881,0.2705,-0.1807
40,178.0,179.225,179.0,180.45,2025-08-08 15:56:23.292000,1.0,1.45,2.45,24.49,0.6897,0.4082,0.2921,-0.295,3.65899,0.2921,0,0.0,subject_idle,subject_idle,3.98037,0.919,0,0.4128,1.1238,0.308,0.2785
41,180.45,181.975,182.2,183.5,2025-08-08 15:56:25.747000,1.75,1.3,3.05,19.672,1.3462,0.5738,0.3351,-0.3116,4.19806,0.1915,0,0.0,subject_idle,subject_idle,3.98037,1.055,0,0.4266,1.319,0.1547,0.0613
42,183.5,187.025,189.9,190.55,2025-08-08 15:56:28.845000,6.4,0.65,7.05,8.511,9.8462,0.9078,2.251,-1.5138,28.20121,0.3517,0,0.0,subject_idle,subject_idle,3.65899,7.707,1,0.4383,1.4024,0.0645,-0.507
43,190.55,193.5,191.05,196.45,2025-08-08 15:56:35.858000,0.5,5.4,5.9,10.169,0.0926,0.0847,1.5314,-2.2297,19.18567,3.0628,1,0.8,subject_idle,subject_idle,3.72608,5.149,0,0.4389,1.4214,0.0721,-0.415
44,196.45,198.05,197.55,199.65,2025-08-08 15:56:41.740000,1.1,2.1,3.2,18.75,0.5238,0.3438,0.3741,-0.3088,4.68727,0.3401,0,0.0,subject_idle,subject_idle,3.72608,1.258,0,0.4633,1.481,0.0954,0.1295
45,199.65,200.725,200.3,201.8,2025-08-08 15:56:44.957000,0.65,1.5,2.15,27.907,0.4333,0.3023,0.1473,-0.2856,1.8452,0.2266,1,0.25,subject_idle,subject_idle,3.65899,0.504,0,0.5109,1.481,0.1797,0.7802
46,201.8,202.525,202.1,203.25,2025-08-08 15:56:47.142000,0.3,1.15,1.45,41.379,0.2609,0.2069,0.1437,-0.2867,1.80006,0.4789,0,0.0,subject_idle,subject_idle,3.58523,0.502,0,0.5319,1.5167,0.2301,1.5794
47,203.25,205.45,205.35,207.65,2025-08-08 15:56:48.556000,2.1,2.3,4.4,13.636,0.913,0.4773,0.3596,-0.1639,4.50578,0.1713,0,0.0,subject_idle,subject_idle,3.47727,1.296,0,0.5337,1.5357,0.2489,0.0787
48,207.65,209.8,208.75,211.95,2025-08-08 15:56:52.930000,1.1,3.2,4.3,13.953,0.3437,0.2558,0.2541,-0.3005,3.18323,0.231,2,1.1,subject_idle,subject_idle,3.47727,0.915,0,0.5386,1.4833,0.2494,0.1118
49,211.95,212.925,213.4,213.9,2025-08-08 15:56:57.257000,1.45,0.5,1.95,30.769,2.9,0.7436,0.1969,-0.2462,2.46666,0.1358,1,0.35,subject_idle,subject_idle,3.58523,0.688,0,0.5361,1.4833,0.2452,1.0168
50,213.9,214.55,214.65,215.2,2025-08-08 15:56:59.168000,0.75,0.55,1.3,46.154,1.3636,0.5769,0.2559,-0.1613,3.20647,0.3412,1,0.4,subject_idle,subject_idle,3.65899,0.876,0,0.5471,1.5524,0.2351,1.8877
51,215.2,218.15,216.05,221.1,2025-08-08 15:57:00.548000,0.85,5.05,5.9,10.169,0.1683,0.1441,0.4394,-0.4792,5.50536,0.517,0,0.0,subject_idle,subject_idle,3.31744,1.66,0,0.5364,1.5881,0.2215,-0.1008
52,221.1,222.2,221.9,223.3,2025-08-08 15:57:06.376000,0.8,1.4,2.2,27.273,0.5714,0.3636,0.2648,-0.2259,3.31744,0.331,1,0.5,subject_idle,subject_idle,3.31744,1.0,0,0.5356,1.5952,0.2676,0.8254
53,223.3,224.7,224.4,226.1,2025-08-08 15:57:08.651000,1.1,1.7,2.8,21.429,0.6471,0.3929,0.2974,-0.3376,3.72608,0.2704,0,0.0,subject_idle,subject_idle,3.31744,1.123,0,0.4853,1.481,0.0152,0.3459
54,226.1,226.825,227.0,227.55,2025-08-08 15:57:11.437000,0.9,0.55,1.45,41.379,1.6364,0.6207,0.2482,-0.1162,3.10922,0.2757,0,0.0,subject_idle,subject_idle,3.31744,0.937,0,0.4546,1.4548,0.057,1.3303
55,227.55,227.95,227.8,228.35,2025-08-08 15:57:12.847000,0.25,0.55,0.8,75.0,0.4545,0.3125,0.1958,-0.2201,2.45276,0.7831,1,0.4,subject_idle,subject_idle,3.31744,0.739,0,0.4673,1.4262,0.0317,3.1968
56,228.35,229.225,229.05,230.1,2025-08-08 15:57:13.658000,0.7,1.05,1.75,34.286,0.6667,0.4,0.1315,-0.2399,1.64713,0.1878,0,0.0,subject_idle,subject_idle,3.72608,0.442,0,0.485,1.4095,0.038,1.0431
57,230.1,231.4,231.0,232.7,2025-08-08 15:57:15.466000,0.9,1.7,2.6,23.077,0.5294,0.3462,0.2565,-0.3342,3.21352,0.285,0,0.0,subject_idle,subject_idle,3.72608,0.862,0,0.4586,1.4738,0.0794,0.3494
58,232.7,234.15,234.2,235.6,2025-08-08 15:57:18.037000,1.5,1.4,2.9,20.69,1.0714,0.5172,0.3004,-0.2398,3.76343,0.2003,0,0.0,subject_idle,subject_idle,3.72608,1.01,0,0.4542,1.3571,0.032,0.2056
59,235.6,237.525,237.65,239.45,2025-08-08 15:57:20.947000,2.05,1.8,3.85,15.584,1.1389,0.5325,0.4117,-0.4244,5.15741,0.2008,0,0.0,subject_idle,subject_idle,3.72608,1.384,0,0.4533,1.4143,0.0656,-0.0746
60,239.45,240.6,240.55,241.75,2025-08-08 15:57:24.757000,1.1,1.2,2.3,26.087,0.9167,0.4783,0.3553,-0.3085,4.45088,0.323,0,0.0,subject_idle,subject_idle,3.72608,1.195,0,0.4734,1.3714,0.0354,0.5605
61,241.75,243.7,243.3,245.65,2025-08-08 15:57:27.045000,1.55,2.35,3.9,15.385,0.6596,0.3974,0.2632,-0.3158,3.29701,0.1698,0,0.0,subject_idle,subject_idle,3.72608,0.885,0,0.4485,1.4071,0.2368,-0.1009
62,245.65,247.225,246.8,248.8,2025-08-08 15:57:30.937000,1.15,2.0,3.15,19.048,0.575,0.3651,0.4258,-0.4355,5.33486,0.3703,0,0.0,subject_idle,subject_idle,3.36405,1.586,0,0.4126,1.2333,0.3519,-0.0177
63,248.8,251.175,250.4,253.55,2025-08-08 15:57:34.157000,1.6,3.15,4.75,12.632,0.5079,0.3368,0.3167,-0.3276,3.96729,0.1979,0,0.0,ser_baseline,ser_baseline,3.36405,1.179,0,0.4095,1.1595,0.2912,-0.3761
64,253.55,255.625,254.7,257.7,2025-08-08 15:57:38.837000,1.15,3.0,4.15,14.458,0.3833,0.2771,0.3815,-0.3618,4.77952,0.3317,1,0.45,ser_baseline,ser_baseline,3.36405,1.421,0,0.6273,1.419,0.3521,0.4251
65,257.7,258.725,258.8,259.75,2025-08-08 15:57:43.034000,1.1,0.95,2.05,29.268,1.1579,0.5366,0.3405,-0.2408,4.26551,0.3095,1,0.8,ser_baseline,ser_baseline,3.36405,1.268,0,0.6088,1.7071,0.088,1.1696
66,259.75,260.425,260.1,261.1,2025-08-08 15:57:45.037000,0.35,1.0,1.35,44.444,0.35,0.2593,0.4063,-0.4828,5.09045,1.1609,0,0.0,ser_baseline,ser_baseline,3.76343,1.353,0,0.561,1.7905,0.0184,1.8396
67,261.1,262.8,262.85,264.5,2025-08-08 15:57:46.455000,1.75,1.65,3.4,17.647,1.0606,0.5147,0.2337,-0.18,2.92825,0.1336,1,0.6,ser_baseline,ser_baseline,3.76343,0.778,0,0.5346,1.7619,0.0245,0.2994
68,264.5,266.45,265.4,268.4,2025-08-08 15:57:49.837000,0.9,3.0,3.9,15.385,0.3,0.2308,0.34,-0.3029,4.25944,0.3778,0,0.0,ser_baseline,ser_baseline,3.96729,1.074,0,0.5356,1.8119,0.0591,0.1798
69,268.4,269.7,269.0,271.0,2025-08-08 15:57:53.773000,0.6,2.0,2.6,23.077,0.3,0.2308,0.2218,-0.2303,2.77934,0.3697,0,0.0,ser_baseline,ser_baseline,4.25944,0.653,0,0.5269,1.8476,0.1194,0.5695
70,271.0,271.575,271.3,272.15,2025-08-08 15:57:56.351000,0.3,0.85,1.15,52.174,0.3529,0.2609,0.1207,-0.1539,1.51276,0.4025,0,0.0,ser_baseline,ser_baseline,4.25944,0.355,0,0.5245,1.8381,0.1401,2.1417
71,272.15,273.425,273.1,274.7,2025-08-08 15:57:57.461000,0.95,1.6,2.55,23.529,0.5938,0.3725,0.2685,-0.2654,3.36405,0.2826,0,0.0,ser_baseline,ser_baseline,4.25944,0.79,0,0.5135,1.8333,0.136,0.5508
72,274.7,275.5,275.7,276.3,2025-08-08 15:58:00.042000,1.0,0.6,1.6,37.5,1.6667,0.625,0.211,-0.1811,2.64349,0.211,1,0.45,ser_baseline,ser_baseline,4.25944,0.621,0,0.5319,1.7976,0.1482,1.3688
73,276.3,278.175,276.8,280.05,2025-08-08 15:58:01.667000,0.5,3.25,3.75,16.0,0.1538,0.1333,0.1594,-0.2606,1.99653,0.3187,0,0.0,ser_baseline,ser_baseline,3.96729,0.503,0,0.5309,1.8095,0.1639,0.1981
74,280.05,284.95,283.3,289.85,2025-08-08 15:58:05.356000,3.25,6.55,9.8,6.122,0.4962,0.3316,1.6399,-1.7047,20.54587,0.5046,0,0.0,ser_baseline,ser_baseline,3.91831,5.244,1,0.5462,1.7667,0.1621,-0.289
75,289.85,291.05,290.9,292.25,2025-08-08 15:58:15.159000,1.05,1.35,2.4,25.0,0.7778,0.4375,0.2625,-0.2457,3.28865,0.25,0,0.0,ser_baseline,ser_baseline,3.91831,0.839,0,0.5476,1.8762,0.1473,0.7406
76,292.25,294.65,293.8,297.05,2025-08-08 15:58:17.590000,1.55,3.25,4.8,12.5,0.4769,0.3229,0.3922,-0.3967,4.91421,0.2531,3,1.0,ser_baseline,ser_baseline,3.36405,1.461,0,0.5543,1.9548,0.0501,0.0835
77,297.05,299.275,300.05,301.5,2025-08-08 15:58:22.329000,3.0,1.45,4.45,13.483,2.069,0.6742,0.2238,-0.1537,2.80408,0.0746,0,0.0,ser_baseline,ser_baseline,3.36405,0.834,0,0.5348,1.9524,0.0765,0.074
78,301.5,304.675,302.45,307.85,2025-08-08 15:58:26.836000,0.95,5.4,6.35,9.449,0.1759,0.1496,0.4489,-0.3562,5.62427,0.4726,0,0.0,ser_baseline,ser_baseline,3.36405,1.672,0,0.5674,1.9024,0.1134,-0.04
79,307.85,310.5,308.7,313.15,2025-08-08 15:58:33.128000,0.85,4.45,5.3,11.321,0.191,0.1604,0.4409,-0.4629,5.52391,0.5187,0,0.0,ser_baseline,ser_baseline,3.28865,1.68,0,0.5968,1.8929,0.1625,0.1564
80,313.15,315.425,314.0,317.7,2025-08-08 15:58:38.438000,0.85,3.7,4.55,13.187,0.2297,0.1868,0.4675,-0.5381,5.85666,0.55,0,0.0,ser_baseline,ser_baseline,3.36405,1.741,0,0.5961,1.8786,0.1582,0.2555
81,317.7,319.25,318.45,320.8,2025-08-08 15:58:43.038000,0.75,2.35,3.1,19.355,0.3191,0.2419,0.4138,-0.3435,5.18425,0.5517,0,0.0,ser_baseline,ser_baseline,3.62742,1.429,0,0.5624,1.8286,0.1383,0.4818
82,320.8,321.925,321.55,323.05,2025-08-08 15:58:46.150000,0.75,1.5,2.25,26.667,0.5,0.3333,0.084,-0.1708,1.0528,0.112,1,0.25,ser_baseline,ser_baseline,3.62742,0.29,0,0.5849,1.8429,0.1272,0.9514
83,323.05,324.675,323.6,326.3,2025-08-08 15:58:48.338000,0.55,2.7,3.25,18.462,0.2037,0.1692,0.3128,-0.2648,3.91831,0.5686,0,0.0,ser_baseline,ser_baseline,3.68422,1.064,0,0.5686,1.8524,0.1598,0.4533
84,326.3,327.575,327.1,328.85,2025-08-08 15:58:51.674000,0.8,1.75,2.55,23.529,0.4571,0.3137,0.1795,-0.2574,2.24892,0.2244,1,0.35,ser_baseline,ser_baseline,3.91831,0.574,0,0.5675,1.8905,0.1593,0.7249
85,328.85,331.575,330.4,334.3,2025-08-08 15:58:54.159000,1.55,3.9,5.45,11.009,0.3974,0.2844,0.4017,-0.3595,5.03233,0.2591,1,0.75,ser_baseline,ser_baseline,3.91831,1.284,0,0.4502,1.6524,0.3972,-0.333
86,334.3,335.15,334.6,336.0,2025-08-08 15:58:59.652000,0.3,1.4,1.7,35.294,0.2143,0.1765,0.163,-0.2003,2.04179,0.5432,1,0.35,ser_baseline,ser_baseline,3.91831,0.521,0,0.4465,1.3833,0.4183,0.9737
87,336.0,337.175,336.8,338.35,2025-08-08 15:59:01.361000,0.8,1.55,2.35,25.532,0.5161,0.3404,0.3915,-0.2996,4.90514,0.4894,0,0.0,ser_baseline,ser_baseline,3.91831,1.252,0,0.4545,1.4071,0.3392,0.4694
88,338.35,339.025,338.8,339.7,2025-08-08 15:59:03.643000,0.45,0.9,1.35,44.444,0.5,0.3333,0.0918,-0.0837,1.14962,0.2039,0,0.0,ser_baseline,ser_baseline,3.91831,0.293,0,0.4545,1.4786,0.3039,1.4964
89,339.7,340.525,340.1,341.35,2025-08-08 15:59:05.049000,0.4,1.25,1.65,36.364,0.32,0.2424,0.1953,-0.1698,2.44726,0.4883,0,0.0,ser_baseline,ser_baseline,3.91831,0.625,0,0.431,1.4333,0.1749,0.9819
90,341.35,342.675,341.95,344.0,2025-08-08 15:59:06.647000,0.6,2.05,2.65,22.642,0.2927,0.2264,0.2941,-0.2834,3.68422,0.4901,0,0.0,ser_baseline,ser_baseline,3.91831,0.94,0,0.4219,1.3857,0.1004,0.2075
91,344.0,345.525,344.45,347.05,2025-08-08 15:59:09.348000,0.45,2.6,3.05,19.672,0.1731,0.1475,0.2895,-0.3002,3.62742,0.6434,0,0.0,ser_baseline,ser_baseline,3.91831,0.926,0,0.4222,1.3571,0.1042,0.0471
92,347.05,347.725,347.45,348.4,2025-08-08 15:59:12.344000,0.4,0.95,1.35,44.444,0.4211,0.2963,0.1972,-0.239,2.47106,0.4931,1,0.8,ser_baseline,ser_baseline,3.80544,0.649,0,0.4264,1.2905,0.1125,1.4058
93,348.4,349.65,349.35,350.9,2025-08-08 15:59:13.757000,0.95,1.55,2.5,24.0,0.6129,0.38,0.3187,-0.3623,3.99266,0.3355,0,0.0,ser_baseline,ser_baseline,3.80544,1.049,0,0.43,1.2762,0.1298,0.3073
94,350.9,353.625,353.25,356.35,2025-08-08 15:59:16.246000,2.35,3.1,5.45,11.009,0.7581,0.4312,0.509,-0.5132,6.37724,0.2166,0,0.0,ser_baseline,ser_baseline,3.80544,1.676,0,0.4947,1.4667,0.0148,-0.1896
95,356.35,358.55,357.75,360.75,2025-08-08 15:59:21.645000,1.4,3.0,4.4,13.636,0.4667,0.3182,0.4741,-0.4922,5.94007,0.3387,0,0.0,ser_baseline,ser_baseline,3.99266,1.488,0,0.4932,1.519,0.2111,-0.0518
96,360.75,362.075,361.8,363.4,2025-08-08 15:59:26.052000,1.05,1.6,2.65,22.642,0.6563,0.3962,0.3037,-0.2914,3.80544,0.2893,0,0.0,ser_baseline,ser_baseline,3.80544,1.0,0,0.5026,1.5405,0.2294,0.4675
97,363.4,366.175,365.7,368.95,2025-08-08 15:59:28.757000,2.3,3.25,5.55,10.811,0.7077,0.4144,0.4613,-0.4684,5.77872,0.2005,0,0.0,ser_baseline,ser_baseline,3.80544,1.519,0,0.4945,1.3714,0.2329,-0.201
98,368.95,370.8,371.4,372.65,2025-08-08 15:59:34.246000,2.45,1.25,3.7,16.216,1.96,0.6622,0.2891,-0.2564,3.62229,0.118,0,0.0,ser_baseline,ser_baseline,3.68422,0.983,0,0.5274,1.5833,0.0982,0.1985
99,372.65,374.025,373.3,375.4,2025-08-08 15:59:37.965000,0.65,2.1,2.75,21.818,0.3095,0.2364,0.3425,-0.3698,4.29118,0.5269,0,0.0,ser_baseline,ser_baseline,3.80544,1.128,0,0.4952,1.6286,0.139,0.399
100,375.4,376.75,376.3,378.1,2025-08-08 15:59:40.751000,0.9,1.8,2.7,22.222,0.5,0.3333,0.4193,-0.4087,5.25262,0.4658,1,0.3,ser_baseline,ser_baseline,3.99266,1.316,0,0.4723,1.719,0.0901,0.3471
101,378.1,379.375,378.55,380.65,2025-08-08 15:59:43.367000,0.45,2.1,2.55,23.529,0.2143,0.1765,0.3589,-0.2433,4.49698,0.7977,1,0.5,ser_baseline,ser_baseline,4.29118,1.048,0,0.4658,1.6786,0.0849,0.3971
102,380.65,381.95,381.3,383.25,2025-08-08 15:59:45.949000,0.65,1.95,2.6,23.077,0.3333,0.25,0.1283,-0.2538,1.60767,0.1974,0,0.0,ser_baseline,ser_baseline,4.29118,0.375,0,0.4647,1.6619,0.0675,0.369
103,383.25,384.275,384.15,385.3,2025-08-08 15:59:48.552000,0.9,1.15,2.05,29.268,0.7826,0.439,0.2482,-0.221,3.10911,0.2757,0,0.0,ser_baseline,ser_baseline,4.49698,0.691,0,0.4326,1.5833,0.0193,0.6017
104,385.3,388.825,388.05,392.35,2025-08-08 15:59:50.651000,2.75,4.3,7.05,8.511,0.6395,0.3901,0.4244,-0.3505,5.31703,0.1543,0,0.0,ser_baseline,ser_baseline,4.49698,1.182,0,0.4289,1.55,0.0756,-0.5373
105,392.35,394.975,393.5,397.6,2025-08-08 15:59:57.645000,1.15,4.1,5.25,11.429,0.2805,0.219,0.5845,-0.5568,7.32263,0.5082,1,0.95,ser_baseline,ser_baseline,4.3632,1.678,0,0.4393,1.4262,0.0722,-0.3453
